Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
254;1757;Herbert Ospelt Anstalt;Schaanerstrasse 79;9487;Bendern FL;PP, MP; CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  PP (VI);;pap;
301;52030251;Ospelt food AG;Tiefrietstr. 7 ;7320;Sargans SG;PP, FFPP; CS (0),  RW (0),  MM (V),  MP (V),  PP (VI),  PP (IX),  PP (X);;;
302;51917422;GAUTSCHI SPEZIALITAETEN A.G.;Industriering 8;3427;Utzenstorf BE;WM, PP, FFPP, MP; RW (0),  WM (0),  PP (VI),  PP (IX);;;
310;51686817;Grauwiler Fleisch AG Werk 2;Schlachthofstrasse 55;4056;Basel BS;PP; CS (0),  RW (0),  CP (I),  PP (VI),  PP (IX),  PP (X);;;
311;53453322;Fredag AG Nahrungsmittelprodukte;Oberfeldmatt 7;6037;Root LU;PP; MP (V),  PP (VI);;;
313;73857201;Balik Räucherei im Toggenburg AG;Im Moos ;9122;Mogelsberg SG;PP, FFPP; CS (0),  RW (0);;;
314;66532413;CT OCEANE SA;Chemin du Pré-Fleuri 10;1228;Plan-les-Ouates GE;PP;;;;
316;65036368;Planet Caviar SA;Rue le Royer 17;1227;Les Acacias GE;PP;;;;
323;71101268;Bernard Wolf Pêcherie;La Combettaz ;1545;Chevroux VD;WM, PP, FFPP; CS (0),  RW (0),  WM (0);;;
332;76670060;Copro Comestibles Produktion AG;Sommeristrasse 37a;8580;Amriswil TG;FFPP, MP; PP (VI);;;
334;52258120;Jowa AG Regionalbäckerei Aargau;Bäckerstrasse 1;5722;Gränichen AG;PP, MP; MM (V),  MP (V),  PP (VI),  PP (IX),  PP (XI);;;
338;54495051;Pastinella, Zweigniederlassung der Orior Menu AG;Industriestrasse 40;5036;Oberentfelden AG;PP, MP; MM (V),  MP (V),  PP (VI),  PP (XI);;;
339;74333546;Gastromer SA Produits Alimentaires;Rue du Champ-Blanchod 14;1228;Plan-les-Ouates GE;PP, FFPP; PP (VI),  PC (VII);;;
344;60004935;Sofinol SA;Cantonale 8;6928;Manno TI;PP;;;;
349;41231939;Givaudan Schweiz AG;Überlandstrasse 138;8600;Dübendorf ZH;PP, MP; PP (VI),  PP (IX);;pap;
40898092;40898092;Gebr. Strässle AG, Metzgerei & Party-Service;Tramstrasse 31;5034;Suhr AG;PP; GHE (IV),  MM (V),  MP (V),  PP (VI);;;
40988547;40988547;Köferli AG Metzgerei ;Hauptstrasse 37;5312;Döttingen AG;PP; CP (I),  GHE (IV),  MM (V),  MP (V),  PP (VI);;;
40990085;40990085;Sandmeier Fleisch und Feinkost AG;Hauptstrasse 27;5742;Kölliken AG;PP, MP; SH (I),  SH (II),  SH (III),  GHE (IV),  MM (V),  MP (V),  MSM (V),  PP (VI);;;
41020801;74162846;Bernet AG Metzgerei Schlachtanlage;Hauptstrasse 17;4324;Obermumpf AG;PP; GHE (IV),  MM (V),  MP (V),  PP (VI);;;
41028140;41028140;Pius Balmer, Metzgerei;Sinserstrasse 9;5646;Abtwil AG AG;PP; SH (I),  GHE (IV),  MM (V),  MP (V),  PP (VI);;;
41066544;41066544;DSM Nutritional Products AG;Hauptstrasse 4;4334;Sisseln AG;PP; RW (0);;;
41819830;41819830;Bell Schweiz AG, Seafood;Neudorfstrasse 90;4056;Basel BS;PP; CS (0),  RW (0);;;
41921910;41921910;Ultra Marine Food SA;Rue Blavignac  10;1227;Carouge GE GE;FFPP;;;;
45027975;45027975;Rageth Comestibles AG;Riedlöserstr. 3;7302;Landquart GR;PP, FFPP; PP (VI);;;
46014967;46014967;Salumificio del Castello Capoferri & Co AG;Gorla ;6874;Castel San Pietro TI;WM; CP (I),  MP (V),  PP (VI);;;
50949496;50949496;Dörig & Brandl AG;Ballonstrasse 24;8952;Schlieren ZH;FFPP; CS (0),  RW (0);;;
51000025;51000025;Ospelt food AG;Hauptstr. 10;9476;Weite SG;PP, FFPP; CS (0),  RW (0);;;
51370354;51370354;F.lli Terrani SA;Via Cremignone 2;6924;Sorengo TI;WM; WM (0),  CP (I),  CP (II),  MM (V),  MP (V);;;
51821458;51821458;Soc. Coop. Migros-Genève, Traiteurs Party;Rue Alexandre-Gavard  35;1227;Carouge GE GE;PP, MP; PP (VI),  PP (IX),  PP (X);;;
51940678;51940678;Breitenmoser Appenzeller Fleischspezialitäten AG;Sägehüslistrasse 12;9050;Appenzell AI;PP, MP; CP (I),  CP (II),  CP (III),  CP (IV),  PP (VI);;;
51955737;51955737;Dyhrberg AG Lachsräucherei;Solothurnerstrasse 40;4710;Balsthal SO;WM, PP, FFPP;;;;
51982222;76427385;Lehnherr S.A.;Chemin des Chapons-des-Prés 18;2022;Bevaix NE;PP, FFPP; RW (0),  CP (I),  CP (II),  CP (III),  CP (IV),  PP (VI),  DC (VII);;;
52046120;52046120;Dottikon Exclusive Synthesis AG;Hembrunnstrasse 17;5605;Dottikon AG;PP;;;;
52106722;72798293;Otto Felder, Metzgerei;Bahnhofstrasse 4;5430;Wettingen AG;PP, MP; GHE (IV),  MM (V),  MP (V),  PP (VI);;;
52235207;52235207;KADI AG. Kühl- und Tiefkühlprodukte;Thunstettenstrasse  27;4901;Langenthal BE;WM, PP, FFPP; RW (0),  WM (0),  PP (VI);;;
5224;65710795;Ceposa AG  Lebensmittel;Hafenstrasse 4;8280;Kreuzlingen TG;PP; RW (0),  PP (VI),  PP (IX);;;
52892235;52892235;Salmo Fumica AG;Landstrasse 126;5415;Nussbaumen AG AG;PP; PP (VI);;;
53221394;53221394;Mulhaupt Comestibles;Route de la Charbonnière 1;1032;Romanel-sur-Lausanne VD;WM, PP, FFPP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  PP (VI),  DC (VII),  PP (XI);;;
53253307;53253307;Fässler Franz;Rinkenbach  33;9050;Appenzell AI;PP; CP (I),  CP (II),  CP (III),  CP (IV),  PP (VI);;;
53365430;53365430;FLS Furness Lagerhaus & Spedition AG;Lachmattstrasse 120;4133;Pratteln BL;WM; DC (VII);;;
53469982;53469982;Reitzel (Suisse) SA;Route d'Ollon 14;1860;Aigle VD;PP; RW (0),  PP (IX),  PP (X);;;
53694590;53694590;Pigrusa ;Pisciculture de la Gruyère  ;1669;Neirivue FR;WM, PP;;;;
55483576;75550579;A. et P. Santos, commerce de poissons;Les Charrières ;1445;Vuiteboeuf VD;WM, FFPP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III);;;
55550541;55550541;Pisciculture de Vionnaz Hess SA  Elevage de Poisson;Route du Simplon 30;1895;Vionnaz VS;FFPP;;;;
60081484;60081484;Viandes Riviera;Rue du Collège 42;1815;Clarens VD;WM, PP, MP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (VI),  PP (XI),  PP (XII),  PP (XIII);;;
60572910;75574229;Lucas Frères SA;Le Verger ;1417;Essertines-sur-Yverdon VD;WM, FFPP; CS (0),  RW (0),  WM (0),  DC (VII);;;
61712818;61712818;Zahner Fischhandel AG;Hof 15;8737;Gommiswald SG;WM, FFPP; CS (0),  RW (0),  DC (VII),  PP (XI);;;
61753699;61753699;G. Bianchi AG, Comestibles;Allmendweg 6;5621;Zufikon AG;PP; CS (0),  RW (0),  GHE (IV),  MP (V),  DC (VII),  PP (XI);;;
62221021;62221021;Braschler's Comestibles Import AG;Geroldstrasse 5;8005;Zürich ZH;PP, FFPP; CS (0);;;
63874945;63874945;Blausee AG  Fischzucht;Blausee 222b;3717;Blausee-Mitholz BE;FFPP;;;;
64244058;64244058;Lucas Genève S.A.;Rue Blavignac  9-11;1227;Carouge GE GE;FFPP;;;;
64472484;64472484;Serra - Poissons Frais;Rue du Port 40;1815;Clarens VD;WM, FFPP; CS (0),  RW (0),  WM (0),  DC (VII);;;
65086348;65086348;Schalom AirCatering AG;Cherweg 4;8152;Glattbrugg ZH;PP; PP (VI);;;
65133427;65133427;Frostag Food-Centrum; ;7302;Landquart GR;PP, MP; CS (0),  RW (0),  PP (VI);;;
65298238;65298238;Traitafina AG Fleischprodukte;Niederlenzer Kirchweg 12;5600;Lenzburg AG;PP; MM (V),  MP (V),  PP (VI);;;
65719866;75467046;COVEDIS SA; ;1010;Lausanne VD;PP; CS (0),  RW (0),  CP (I),  DC (VII);;;
65912996;75490600;Perches-Import S.A. Poissons & Produits Alimentaires;chemin du Crêt  2;1279;Chavannes-de-Bogis VD;WM; CS (0),  RW (0),  WM (0),  CP (II),  CP (III),  DC (VII),  PP (X),  PP (XI);;;
66001529;66001529;Spaccio Ittico SA;via al Piano 12;6926;Montagnola TI;WM, FFPP; CS (0),  WM (0),  DC (VII);;;
66500516;66500516;Serfrè AG;via Campagna Adorna 9;6850;Mendrisio TI;WM; CS (0),  CP (I),  CP (II),  CP (III),  PP (VI);;;
66650692;66650692;Fideco AG;Länggasse 11;3280;Murten FR;FFPP; CS (0),  RW (0);;;
67023691;67023691;Migros Deli Factory;Pfingstweidstrasse 101;8005;Zürich ZH;PP; PP (VI);;;
67093971;67093971;Swiss Caps AG;Husenstrasse 35;9533;Kirchberg SG;PP; RW (0),  PP (VI),  PP (IX),  PP (X),  PP (XII),  PP (XIV),  PP (XV);;;
67486491;67486491;Sushi Mania SA;Route des Artisans 106;1628;Vuadens FR;PP, FFPP;;;;
68175604;68175604;Fischzucht Pfyn;Hauptstrasse 80;8505;Pfyn TG;FFPP; CS (0),  RW (0);;;
68215822;68215822;Tropenhaus Frutigen AG;Tropenhausweg 1;3714;Frutigen BE;PP, FFPP; CS (0),  RW (0);;;
69087808;70142912;Hugo Dubno AG Lebensmittel;Industriestrasse 11;5604;Hendschiken AG;WM; CS (0),  WM (0);;;
69758530;69758530;LE BONSAÏ, sushi-express Sarl;Rue Blavignac  5;1227;Carouge GE GE;FFPP;;;;
70890346;70890346;New Valfish SA;Route des îles 84;1897;Le Bouveret VS;FFPP;;;;
70911886;70911886;Stadel Fischimport AG Fischverteilhalle;Lachmattstrasse 1 ;4133;Pratteln BL;PP, FFPP, AH; CS (0),  RW (0),  DC (VII);;;
72769711;72769711;Novameditpesca Sàrl;Chemin du Pré-Fleuri  27;1228;Plan-les-Ouates GE;FFPP;;;;
73299590;73299590;Starfjord / Centre de Rencontre & de Formation;Au Village 131;1483;Montet (Broye) FR;PP;;;;
73799047;73799047;Stadel Fischimport AG;Aarauerstrasse 15;5033;Buchs AG AG;PP, FFPP;;;;
73887515;73887515;Valperca S.A.;Bodmereya ;3942;Raron VS;FFPP;;;;
74021004;74021004;Hügli Nährmittel AG;Industriestrasse  15;9015;St. Gallen SG;PP, MP; CS (0),  RW (0),  PP (VI),  PP (IX),  PP (X);;pap;
74582684;74582684;Micarna SA, Seafood Fischverarbeitung;Pfingstweidstrasse  101;8005;Zürich ZH;WM, PP, FFPP; CS (0),  RW (0),  WM (0),  DC (VII);;;
74952804;74952804;Micarna SA Seafood;Chemin du Dévent ;1024;Ecublens VD VD;FFPP; CS (0),  DC (VII);;;
80705218;80705218;Ultra Marine Food SA;Route de Satigny  56;1217;Meyrin GE;FFPP;;;;
86192278;86192278;Weber Fischerei GmbH;Hurdnerstrasse 120 ;8640;Hurden SZ;PP, FFPP;;;;
CH 428526.4;;Pisciculture Choulat SA;Rue du Moulin 36 b ;2923;Courtemaîche JU;FFPP;;;;


Sektion IX 1622 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
038;71445115;Nestlé Suisse S.A.;Industriestrasse  21;9400;Rorschach SG;PP; CS (0),  RW (0),  CP (I),  CP (II),  CP (III),  MM (V),  MP (V),  PP (VI),  PP (X),  PP (XII);B, C, O, S;;
1005;66115403;Swissmill Mühle;Sihlquai 306;8005;Zürich ZH;PP;;B;;
2000;74258365;Winkler Käse und Molkereiprodukte AG;Grünbergweg 33;7000;Chur GR;PP; CS (0),  RW (0),  WM (0);B, C, O;;
2001;41175043;Baumann Käse AG;Zürichstrasse 9;3052;Zollikofen BE;PP; RW (0),  WM (0);B, C, O;;
2002;41642070;Emmi Käse AG;Hofstetstrasse 14;9301;Wittenbach SG;PP; RW (0),  WM (0);B, C, O;;
2003;45127396;Käse-Reifungslager Saanenland AG;Gsteigstrasse ;3783;Grund b. Gstaad BE;PP; RW (0),  WM (0);B, C, O;;
2004;76607493;Molkerei Amstutz AG;Feldenstrasse 2;3655;Sigriswil BE;PP; RW (0),  WM (0);B, C, O;;
2005;41537204;Burger Käse AG;Windleten ;6372;Ennetmoos NW;PP; RW (0),  WM (0);B;;
2006;70719477;GOURMINO AG Käserei;Dorfbergstrasse  3;3550;Langnau im Emmental BE;PP; RW (0),  WM (0);B, C, O;;
2007;73864654;Chr. Eicher's Söhne & Cie. Käsehandel;Thunstrasse 19;3672;Oberdiessbach BE;PP; RW (0),  WM (0);B, C, O;;
2010;74973610;Genossenschaft Urner Alpkäse- Produzenten;Kornmattstrasse 16;6460;Altdorf UR UR;PP;;B;;
2011;75584672;Dörig Käsehandel AG;Unterdorfstrasse 26;9107;Urnäsch AR;PP; RW (0),  WM (0);B;;
2013;74836868;Alois Koch Käsehandel;Rüeggerstrasse 6;9108;Gonten AI;PP; RW (0),  WM (0);B;;
2015;76422125;Züger AG, Käsehandel, Appenzell;Rütistrasse 2;9050;Appenzell AI;PP; RW (0),  WM (0);B;;
2016;69359760;Emmi Käse AG, Affinage;Rue l'Envers 16;2610;St-Imier BE;PP; RW (0),  WM (0);B, C, O;;
2019;68373727;Pagnier & Cie;Grand-Bourgeau 14;2126;Les Verrières NE;PP; RW (0),  WM (0);B;;
2026;75315559;Milka Käse AG Burgdorf Käsehandel;Buchmattstrasse 15;3400;Burgdorf BE;PP; RW (0),  WM (0);B, C, O;;
2030;76690952;Schwyzer Milchhuus AG Milchprodukte;Seewenstrasse 54;6440;Brunnen SZ;PP; RW (0);B, C, O;;
2037;67894423;Alibona AG, Lebensmittel;Amriswilerstrasse 80;9314;Steinebrunn TG;PP;;B;;
2038;70298561;Emmi Käse AG;Winkelweg 4;3422;Rüdtligen BE;PP; RW (0),  WM (0);B, C, O;;
2040;68408547;Emmental AG Exportgesellschaft für Schweizerkäse;Schlösslistrasse 12;3052;Zollikofen BE;PP; RW (0),  WM (0);B, C, O;;
2048;67017331;F. Macheret SA Fromages en Gros;Route de Condoz 8;1752;Villars-sur-Glâne FR;PP;;B;;
2049;52041033;Mifroma SA  Fromages;Rte du Plattiez 11;1670;Ursy FR;PP; RW (0),  WM (0);B, C, O;;
2050;52199617;Cremo SA, affinage et export de fromages;Bonnstrasse 1;3186;Düdingen FR;PP; RW (0);B;;
2051;76682354;H. Huguenin S.A. Fromages en gros, Import-Export;Route d'Arvel 11;1844;Villeneuve VD VD;PP; WM (0);B;;
2052;78035065;Magnenat & Cie SA; ;1055;Froideville VD;PP; WM (0);B;;
2054;51971503;Fromage Gruyère S.A.;Rue de l'Industrie 1;1630;Bulle FR;PP;;B;;
2055;82448317;Coopérative des caves d'alpages de la Tzintre;La Tzintre  53;1637;Charmey (Gruyère) FR;PP;;B;;
2057;73042799;Fromages Sciboz et Fils SA;Route du Crochet 2;1762;Givisiez FR;PP; RW (0);B;;
2058;40704584;Nicolet S.A. Fromages;Grande-Rue 3;2316;Les Ponts-de-Martel NE;PP; CS (0),  RW (0),  WM (0);B;;
2061;74893206;Glarona Käse Genossenschaft;Ygrubenstrasse 9;8750;Glarus GL;PP; RW (0);B;;
2062;60026771;Samuel Gisler Sennerei Grund AG;Grundgasse 2;6460;Altdorf UR;PP;;B;;
2064;65164928;Spezialitätenhandel Grimm GmbH;Industriestrasse 9;6182;Escholzmatt LU;PP; RW (0),  WM (0);B, C, O;;
2066;70740861;Emmi Käse AG, Konfektionierung;Seetalstrasse 200;6032;Emmen LU;PP; RW (0);B, C, O;;
2067;72609301;Emmi Käse AG;St. Karli-Strasse 29;6004;Luzern LU;PP; WM (0);B;;
2068;51587808;Emmi Käse AG Produktion;Dorf ;6212;Kaltbach LU;PP;;B, C, O;;
2075;53307821;InterCheese AG;Industriestrasse 22;6215;Beromünster LU;PP; RW (0);B, C, O;;
2089;73385354;Hardegger Käse;Poststrasse 2;9243;Jonschwil SG;PP; RW (0),  WM (0);B, C, O;;
2092;61448833;Emmi Käse AG Affinage;Industriestrasse 135;9201;Gossau SG SG;PP; RW (0),  WM (0);B, C, O;;
2093;41626634;Traber Käse AG  Käserei / Käsehandel;Seefeldstrasse 10;9533;Kirchberg SG SG;PP; RW (0);B;;
2099;60658295;Bergsenn AG;Dunantstrasse 10;8570;Weinfelden TG;PP;;B, C, O;;
2108;42017611;Christian Golay Fromages & Vacherins;Au Chalet ;1343;Les Charbonnières VD;PP; RW (0),  WM (0);B;;
2109;76745538;Eric Rochat Vacherins Mont d'Or SA; ;1308;La Chaux (Cossonay) VD;PP; RW (0),  WM (0);B;;
2111;40056712;Fromco S.A. Moudon Fromage en Gros;Route de Siviriez ;1510;Moudon VD;PP; WM (0);B;;
2113;76838281;Sociétés des produits Damalp SA;Grand Rue  116;1454;L'Auberson VD;PP;;B, O;;
2114;76436437;Margot Fromages S.A.;Route de Lausanne 21;1400;Yverdon-les-Bains VD;PP; WM (0);B;;
2115;52198278;Lustenberger & Dürst AG;Langrüti 1;6333;Hünenberg See ZG;PP; CS (0);B;;
2118;46465599;Chäs Wägli Inhaber Kurt Wägli Jun.;Engstringerstrasse 2;8952;Schlieren ZH;PP;;B;;
2129;77321529;Peter Bürki Trading AG;Umfahrungsstrasse  1;6210;Sursee LU;PP; WM (0);B;;
2132;51989872;Chäs Vreneli AG Käse & Lebensmittel;Bimenzältenstrasse 40;8302;Kloten ZH;PP;;B, C, O;;
2134;76838171;Vacherin Fribourgeois S.A. ;Rue de l'Industrie 3;1630;Bulle FR;PP; RW (0),  WM (0);B, O;;
2139;41014593;Thurgauische Käse-Reifungs AG;Untere Au ;8570;Weinfelden TG;PP;;B;;
214;67452754;Givaudan Schweiz AG;Winterthurerstrasse ;8310;Kemptthal ZH;PP; PP (VI),  PP (VIII),  MP (VIII),  PP (XII);B, C, O;;
2140;40862688;Emmi Käse AG, Affinage;Mühlestrasse 2;7302;Landquart GR;PP; WM (0);B;;
2143;40058877;Coopérative des producteurs de fromages d'alpage ''L'Etivaz'' Caves à Fromages; ;1660;L'Etivaz VD;PP, CC;;;;
2144;70631990;Theo Sprecher Käsehandel;Tannenbergstrasse 25;8625;Gossau ZH ZH;PP;;B;;
2150;70762933;Fromalp SA Käselager;Route de Rueyres 8;1696;Vuisternens-en-Ogoz FR;PP;;B;;
2158;64362887;Best Gourmet Aktiengesellschaft, Balzers, Filiale di Gravesano - Via Grumo;via Grumo 10;6929;Gravesano TI;PP; RW (0),  WM (0);B, C, O;;
216;52056223;Hügli Nährmittel AG;Bleichestrasse 31;9323;Steinach SG;PP; CS (0),  RW (0),  PP (VI),  PP (VIII),  MP (VIII),  PP (X),  PP (XII),  PP (XIV),  PP (XV);B;;
2163;70654799;Burger Käse AG Lager;Rotzberg ;6372;Ennetmoos NW;PP;;B;;
2402;74711929;Emmi Fondue AG;Bahnhofstrasse 32;3550;Langnau im Emmental BE;PP; RW (0),  WM (0);B, C, O;;
2406;51887642;Emmi Frischprodukte AG;Milchstrasse 9;3072;Ostermundigen BE;PP; RW (0),  WM (0);B, C, O;;
2408;53433394;Emmi Milch AG;Stationsstrasse 21;6252;Dagmersellen LU;PP;;B;;
2409;52022685;Cremo S.A. Produits Laitiers;Route de Moncor 6;1752;Villars-sur-Glâne FR;PP;;B;;
2410;42433256;Emmi Frischprodukte AG;Hasli ;6032;Emmen LU;PP;;B;;
2411;62116679;Mittelland Molkerei AG;Obertelweg 2;5034;Suhr AG;PP;;B;;
2412;52228168;HOCHDORF Nutritec AG Milchverarbeitung;Siedereistrasse 9;6280;Hochdorf LU;PP;;B;;
2413;52083955;Cremo S.A. Milch & Milchprodukte;Schwäbisstrasse 4;3613;Steffisburg BE;PP; RW (0),  WM (0);B, C, O;;
2414;41408028;Nestec S.A. Nestlé PTC Konolfingen;Nestléstrasse 3;3510;Konolfingen BE;PP; RW (0),  WM (0);B, C, O;;
2415;62543467;Emmi Käse AG Produktion;Hasli ;6032;Emmen LU;PP;;B;;
2416;65017171;Emmi Käse AG Produktion;Marktstrasse 9;6060;Sarnen OW;PP;;B, C, O;;
2418;52031318;GESKA AG Glarner Schabziger;Ygrubenstrasse 9;8750;Glarus GL;PP;;B;;
2421;69359671;Emmi Käse AG  Raclette-Käserei;Mühlestrasse 2;7302;Landquart GR;PP;;B;;
2423;52031716;Cremo S.A. Centrale Laitière de Lucens;Zone industrielle ;1522;Lucens VD;PP; RW (0),  WM (0);B;;
2424;70743747;Cremo S.A. Fromagerie de Lucens;Zone industrielle ;1522;Lucens VD;PP; RW (0),  WM (0);B;;
2425;52031344;Cremo S.A. Produits Laitiers;Chemin du Petit-Flon 21;1052;Le Mont-sur-Lausanne VD;PP; CS (0),  RW (0),  WM (0);B;;
2426;52008586;Baer AG;Bahnhofstrasse 67;6403;Küssnacht am Rigi SZ;PP; RW (0),  WM (0);B;;
2429;51918138;HOCHDORF Nutritec AG, Milchprodukte;Industriestrasse 26;8583;Sulgen TG;PP;;B;;
2430;76408885;Laiteries Réunies;Chemin des Aulx 6;1228;Plan-les-Ouates GE;PP;;B;;
2433;51984565;Bioforce AG Roggwil TG Pharma- & Reformprodukte;Grünaustrasse ;9325;Roggwil TG TG;PP; RW (0);B;;
2434;52147137;Estavayer Lait SA;Route de Payerne 2-4;1470;Estavayer-le-Lac FR;PP;;B;;
2436;52121390;Nestlé Suisse S.A. Division Surgeles et Glaces;Blumenfeldstrasse 15;9403;Goldach SG;PP; CS (0),  PP (X);B, C, O;;
2437;50208808;Fuchs + Co. AG Molkerei;Greinastrasse 10;9400;Rorschach SG;PP; RW (0);B;;
2438;82611;Milchhof des Liechtensteiner Milchverbandes;Scanastrasse 12;9494;Schaan FL;PP;;B;;
2439;52108693;Nestlé Suisse S.A. Fabrik Konolfingen Milchprodukte; ;3510;Konolfingen BE;PP; RW (0),  WM (0);B, C, O;;
2440;40445023;Midor AG Lebensmittelfabrik;Bruechstrasse 7;8706;Meilen ZH;PP; PP (X);B;;
2441;52002804;Nestlé Suisse S.A. Fabrik Basel;Horburgstrasse 105;4057;Basel BS;PP; PP (VI),  PP (X);B;;
2442;51990600;LATI SA;Via Gorelle ;6592;S. Antonino TI;PP; RW (0),  WM (0);B, C;;
2443;65227132;Milco SA;Route de Bulle  41;1696;Vuisternens-en-Ogoz FR;PP; RW (0);B;;
2446;73980805;Gebr. Eberle AG Gossau Spezialitäten;Kühlhausstr. 10;9200;Gossau SG SG;PP; RW (0);B, C, O;;
2448;68185162;Trüffel Frei GmbH;Wehntalerstrasse 202;8057;Zürich ZH;PP;;B;;
2451;67306263;Emmi Käse AG, Reifung;Stationsstrasse 21;6252;Dagmersellen LU;PP;;B;;
2456;40670333;Hans Kaspar AG;Chräenbachstrasse 4;5621;Zufikon AG;PP;;B;;
2457;52103852;Morga AG Nahrungsmittelfabrik;Kapplerstrasse 6;9642;Ebnat-Kappel SG;PP;;B;;
2461;40262548;Molkerei Lanz AG;Bolacker 11;4564;Obergerlafingen SO;PP; RW (0),  WM (0);B, C, O;;
2463;76701457;Molkerei Höhn AG, Hirzel;Chelen 1;8816;Hirzel ZH;PP;;B;;
2464;41728073;Manser Molki AG;St. Gallerstrasse 15;9402;Mörschwil SG;PP, CC;;B;;
2465;52114236;Silivri SA Fabrication de Produits Laitiers;Rue Emma-Kammacher 2;1217;Meyrin GE;PP;;B;;
2466;52090198;Mifa AG Frenkendorf Wasch- & Reinigungsmittel;Rheinstrasse 99;4402;Frenkendorf BL;PP; RW (0),  PP (XII);B;;
275;52097612;Albert Spiess AG Fleischwaren;Hauptstrasse ;7220;Schiers GR;PP; RW (0),  CP (I),  CP (III),  GHE (IV),  PP (VI);B;;
3006;75515951;Käserei Molkerei Duss GmbH;Jurastrasse 8;5610;Wohlen AG AG;PP;;B;;
3007;79663282;Molki Netstal;Landstrasse 11;8754;Netstal GL;PP, CC;;B;;
3009;70215612;Molkerei Saanen Beat Locher;Dorfstrasse 88;3792;Saanen BE;PP; RW (0),  WM (0);B, C, O;;
301;52030251;Ospelt food AG;Tiefrietstr. 7 ;7320;Sargans SG;PP; CS (0),  RW (0),  MM (V),  MP (V),  PP (VI),  PP (VIII),  FFPP (VIII),  PP (X);B;;
30115147;30115147;Milchsammelstelle Krone;Dorf ;9064;Hundwil AR;CC;;B;;
30116114;30116114;Milchsammelstelle Rinkenbach;Rinkenbach 36;9050;Appenzell AI;CC;;B;;
3012;45784639;Kaspar Eggenberger Milchprodukte;Winkelstrasse 2;9445;Rebstein SG;PP;;B;;
30127734;30127734;Milchsammelstelle;Kanderstegstrasse ;3716;Kandergrund BE;CC;;B;;
30127760;30127760;Milchsammelstelle Wachseldorn;Dorf Wachseldorn ;3618;Süderen BE;CC;;B;;
30127954;30127954;Milchsammelstelle Linden;Dorfplatz 7;3673;Linden BE;CC;;B;;
30128020;30128020;Milchsammelstelle Kröschenbrunnen-Trubschachen; ;3555;Trubschachen BE;CC;;B;;
3014;67647586;Grün Stadt Zürich Gutsbetrieb Juchhof;Bernerstrasse 31;8064;Zürich ZH;PP;;B;;
30159432;30159432;Klewen-Milch GMBH;Oberdorfstasse  40;6375;Beckenried NW;CC;;B;;
30159673;30159673;Milchsammelstelle Bächli;Urnäscherstrasse  1;9633;Bächli (Hemberg) SG;CC;;B;;
30160113;30160113;Milchsammelstelle Lotzwil;Huttwilstrasse 11;4932;Lotzwil BE;CC;;B;;
30161206;30161206;Milchsammelstelle Obereichi;Obereichi ;3148;Lanzenhäusern BE;CC;;B;;
3017;68071026;Chäs-Paradies Seengen GmbH;Poststrasse 23;5707;Seengen AG;PP;;B;;
302;51917422;GAUTSCHI SPEZIALITAETEN A.G.;Industriering 8;3427;Utzenstorf BE;PP; RW (0),  WM (0),  PP (VI),  WM (VIII),  PP (VIII),  FFPP (VIII),  MP (VIII);B, C, O;;
3023;74985045;Molkerei Grabs;Dorfstrasse 10;9472;Grabs SG;PP, CC;;B;;
3024;60291031;Chäs Glauser Käserei;Eggenweg 2a;3123;Belp BE;PP;;B, C, O;;
3030;75608878;Peter Gertsch Molkerei;Spillstatt 2;3818;Grindelwald BE;PP, CC; RW (0),  WM (0);B, C, O;;
3031;70846792;Käsereigenossenschaft Bottenwil;Hauptstrasse 65;4814;Bottenwil AG;CC;;B;;
3033;61415120;Molki Meiringen AG;Lenggasse 1;3860;Meiringen BE;PP, CC; RW (0),  WM (0);B, C, O;;
3038;63388145;Molkerei Zaugg AG Urs Trösch Käserei;Käsereiplatz ;3264;Diessbach b. Büren BE;PP; RW (0),  WM (0);B, C, O;;
3039;66537212;Appenzeller Milch AG;Mettlenstrasse 4;9050;Appenzell AI;PP;;B;;
3041;75554091;Biomilk AG Milchprodukte;Sägegasse 2;3110;Münsingen BE;PP; RW (0),  WM (0);B, C, O;;
3044;66655114;Fritz Baumgartner Käserei;Moos 2;3256;Dieterswil BE;PP;;B, C, O;;
3045;41463427;Peter Schöni Molkerei & Lebensmittel;Kreuzgasse 6;3860;Meiringen BE;PP; RW (0),  WM (0);B, C, O;;
3046;78247332;Marcel Aeschimann Käserei;Käsereiweg 4;3035;Frieswil BE;PP;;B, C, O;;
3048;76643114;Käserei Ulrich Stettler;Dorfstrasse 67;3273;Kappelen BE;PP;;B, C, O;;
